# sresa1b_miroc3-2-medres_1_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1950-01-16T00:00:00Z,0.3163123,0.22461545,0.6666004,0.22408502,0.37337014,0.24487084,0.3802571,1.1688218,0.3739241,0.28025943,0.78798234,0.20639086,1.209833,0.76540214
1950-02-16T00:00:00Z,0.7712235,0.54379904,1.942176,0.45689523,0.9866162,0.44666818,0.858516,5.1735783,1.3102049,0.8656823,1.4428409,0.50055194,3.381832,1.9572793
1950-03-15T00:00:00Z,1.1120975,0.83906966,1.0670348,0.5831475,0.8515935,1.2605464,0.69354564,1.4695399,1.4454286,1.0816125,3.0523055,0.7402406,1.61025,1.7073041
1950-04-15T00:00:00Z,0.2828884,0.23270269,0.77382946,0.15275438,0.6871876,1.5465827,0.230122,2.532099,2.276909,0.123912886,1.6558619,0.23752621,2.019387,2.2745585
1950-05-15T00:00:00Z,1.1294626,1.0735492,2.3041515,0.6993691,2.1193807,5.002967,0.94653,4.183079,2.7012203,0.6872389,4.917698,1.4076308,4.334712,4.93198
1950-06-15T00:00:00Z,0.34794,0.34631816,1.1179137,0.28440046,1.248057,2.91386,0.4128687,2.357651,2.7971444,0.06917479,1.8307439,0.5248488,2.7277002,3.0396655
1950-07-15T00:00:00Z,2.3685963,1.7215768,0.7185635,2.902043,1.0586152,2.22704,0.694457,0.99551207,1.6162423,1.167537,2.6818507,2.7403698,0.9512463,1.2341179
1950-08-15T00:00:00Z,2.065801,1.7117283,1.6144612,2.192544,1.3111621,1.6484569,1.2750874,1.5857086,0.7843413,1.6997184,2.6329892,2.8224702,1.7654353,1.4252772
1950-09-15T00:00:00Z,1.4622935,1.0885017,0.7107613,2.5569794,0.79408056,0.7910423,0.6239155,1.6254532,0.65831316,0.89262855,1.5605015,2.4488418,1.2153192,1.188704
