# sresa1b_ncar-pcm1_2_Prcp,,,,,,,,,,,,,,
,Arizona/New Mexico Mountains,Arizona/New Mexico Plateau,Central Basin and Range,Chihuahuan Deserts,Colorado Plateaus,High Plains,Mojave Basin and Range,Northern Basin and Range,Northwestern Great Plains,Sonoran Basin and Range,Southern Rockies,Southwestern Tablelands,Wasatch and Uinta Mountains,Wyoming Basin
TIMESTEP,MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d),MEAN(mm/d)
1950-01-16T00:00:00Z,1.1182094,0.744418,0.48239833,0.82463664,0.3759748,0.1242136,0.40910405,1.0814517,0.25856858,1.1097782,0.8712116,0.5913672,0.869371,0.48911333
1950-02-16T00:00:00Z,0.32310307,0.21825904,0.28291535,0.28049695,0.1575623,0.14629832,0.17645214,0.67861754,0.3428804,0.42144543,0.6254295,0.28208235,0.58487535,0.49369225
1950-03-15T00:00:00Z,0.23205326,0.15450433,0.19392021,0.3837711,0.17972577,0.47494623,0.06521668,0.9136978,0.6901617,0.06768558,0.9412175,0.39369366,0.62870944,0.8069837
1950-04-15T00:00:00Z,0.42154044,0.3785684,0.61087096,0.26595882,0.82099396,1.0806026,0.15988259,1.2783226,1.119279,0.07733359,2.2775593,0.6548365,1.7227645,1.8542234
1950-05-15T00:00:00Z,0.1767407,0.18777819,0.712243,0.19914235,0.42384067,3.706858,0.3094004,3.2641873,3.8372958,0.16408771,1.7390475,0.821448,1.4859148,2.0480745
1950-06-15T00:00:00Z,0.41839692,0.33903363,0.13447858,0.7689364,0.15841232,2.1204185,0.16203862,0.3901608,1.0364761,0.2600634,1.3618442,1.0976285,0.21411338,0.7382884
1950-07-15T00:00:00Z,1.8205569,1.3175594,0.35739467,2.6602163,0.712802,2.03065,0.3063608,1.1805989,1.3983387,0.50885487,2.8717232,2.994205,0.63344693,1.1751093
1950-08-15T00:00:00Z,1.1765213,0.958652,0.5222742,2.0512834,0.53761476,1.073259,0.33331737,1.0501792,0.43203565,0.4275714,1.895731,2.8656776,0.6444723,0.691168
1950-09-15T00:00:00Z,0.16749634,0.14417462,0.48736718,0.11101314,0.41740477,1.3398435,0.3102258,1.5639282,1.3705617,0.16194393,0.67688257,0.122127734,0.78469646,0.912092
1950-10-15T00:00:00Z,2.2687714,1.9389131,2.225925,1.5621413,2.3467782,1.699818,1.3515111,1.2879694,1.339051,1.5714339,3.570481,1.9753057,2.8155901,2.2726283
1950-11-15T00:00:00Z,1.1248823,0.82839924,0.5211677,1.3158696,0.54437464,0.34266385,0.3171212,1.5576273,0.43799525,0.95515037,1.6071024,0.96697646,1.1472236,0.9471353
1950-12-15T00:00:00Z,0.9884476,0.66589415,0.8083969,1.18868,0.59870815,0.32975936,0.5299726,0.75044245,0.48027503,0.5101657,1.5380447,0.88200396,1.1756363,0.7681689
1951-01-16T00:00:00Z,0.77833664,0.53813815,0.5886573,0.4496017,0.47840863,0.2186217,0.532581,0.8634427,0.3326398,1.0168272,1.2774465,0.41213998,0.85165626,0.5689688
1951-02-16T00:00:00Z,0.83335155,0.6110836,1.9708273,0.39108348,0.8409109,0.4148051,1.2603921,1.8995821,0.9184308,1.1275661,1.6550597,0.45108333,2.178159,1.3562844
1951-03-15T00:00:00Z,2.0454955,1.4213009,1.6152822,1.1462777,1.2535154,1.3297758,1.3349149,1.0279771,0.9921282,2.3278477,3.3519835,1.2154676,1.7379049,1.5711185
1951-04-15T00:00:00Z,0.7560418,0.6199974,1.3664364,0.34353626,1.085196,1.6757448,0.61899537,1.8377374,1.591124,0.48526046,2.3695931,0.50004375,2.3974395,2.2885191
1951-05-15T00:00:00Z,0.38018593,0.31506905,0.7585356,0.46023223,0.49380603,1.962959,0.35242438,1.6344383,1.3407339,0.38196123,1.3447508,0.75483763,1.5083861,1.717167
